,precision,recall,f1-score,support
bad,0.76875,0.7639751552795031,0.7663551401869159,161.0
good,0.7205882352941176,0.725925925925926,0.7232472324723247,135.0
accuracy,0.7466216216216216,0.7466216216216216,0.7466216216216216,0.7466216216216216
macro avg,0.7446691176470588,0.7449505406027146,0.7448011863296202,296.0
weighted avg,0.7467843302861685,0.7466216216216216,0.7466944390333016,296.0
